vm_id,decision_timestamp,current_cpu,predicted_cpu_t5m,predicted_cpu_t10m,predicted_cpu_t15m,predicted_cpu_t30m,predicted_cpu_t45m,predicted_cpu_t60m,predicted_mean_cpu,predicted_peak_cpu,predicted_std_cpu,volatility_score,risk_score,risk_state
VM_012,1378658700,1.0,0.9953,1.0054,0.9787,0.9734,0.9884,1.0071,1.0002,1.0847,0.0384,0.0,0.0169,LOW
VM_012,1378659000,1.0,0.9926,0.9949,0.9671,0.9671,0.9865,1.0006,0.9938,1.0765,0.0395,0.0,0.0173,LOW
VM_012,1378659300,1.0,0.9896,0.9908,0.9636,0.9615,0.9853,0.9954,0.9896,1.0703,0.0395,0.0,0.0171,LOW
VM_012,1378659600,1.0,0.9909,0.9906,0.9643,0.9571,0.9863,0.9945,0.9891,1.07,0.0404,0.0,0.0174,LOW
VM_012,1378659900,1.0,0.9977,0.9991,0.9723,0.9653,0.9988,0.9992,0.9976,1.0771,0.0404,0.0,0.0174,LOW
VM_012,1378660200,1.0,0.9849,0.9872,0.958,0.946,0.987,0.973,0.9806,1.0523,0.0392,0.0,0.0165,LOW
VM_012,1378660500,1.0,0.9902,0.9865,0.9589,0.9438,0.9934,0.9892,0.9854,1.0671,0.0444,0.0,0.0185,LOW
VM_012,1378660800,1.0,0.9835,0.9789,0.9521,0.9328,0.9925,0.9902,0.9808,1.0701,0.0485,0.0,0.0201,LOW
VM_012,1378661100,1.0,0.9958,0.987,0.956,0.9436,1.0062,0.9964,0.9904,1.0758,0.0491,0.0,0.02,LOW
VM_012,1378661400,1.0,0.9823,0.9701,0.9411,0.9311,0.9983,0.9903,0.9791,1.0675,0.0516,0.0,0.0208,LOW
VM_012,1378661700,1.0,0.9799,0.9685,0.9399,0.9309,0.9987,0.9873,0.9777,1.0662,0.0514,0.0,0.0208,LOW
VM_012,1378662000,1.0,0.9722,0.9627,0.9377,0.924,0.9952,0.9858,0.9734,1.0638,0.0523,0.0,0.0211,LOW
VM_012,1378662300,1.0,0.9789,0.9705,0.9445,0.93,1.0053,0.9973,0.982,1.0766,0.0539,0.0,0.0217,LOW
VM_012,1378662600,1.0,0.9653,0.9557,0.9319,0.9174,0.9951,0.982,0.9685,1.0574,0.0533,0.0,0.0211,LOW
VM_012,1378662900,1.0,0.9671,0.9581,0.9326,0.9231,1.002,0.9878,0.9734,1.0638,0.0544,0.0,0.0214,LOW
VM_012,1378663200,1.0,0.972,0.9621,0.9342,0.9292,1.009,0.9853,0.9771,1.0642,0.0537,0.0,0.0211,LOW
VM_012,1378663500,1.0,0.9757,0.965,0.9382,0.9321,1.0127,0.9921,0.9811,1.0695,0.0543,0.0,0.0212,LOW
VM_012,1378663800,1.0,0.966,0.9555,0.9315,0.9201,1.0043,0.9811,0.9713,1.0578,0.0541,0.0,0.021,LOW
VM_012,1378664100,1.0,0.9617,0.9504,0.9291,0.9166,1.0014,0.9799,0.9679,1.0549,0.0545,0.0,0.0212,LOW
VM_012,1378664400,1.0,0.9646,0.9546,0.9326,0.9188,1.0072,0.981,0.9717,1.0587,0.055,0.0,0.0212,LOW
VM_012,1378664700,1.0,0.971,0.9634,0.9397,0.9274,1.0142,0.9844,0.9788,1.0643,0.0537,0.0,0.0208,LOW
VM_012,1378665000,1.0,0.9696,0.957,0.9519,0.8906,0.9858,0.9952,0.9594,1.0317,0.0572,0.0,0.0202,LOW
VM_012,1378665300,1.0,0.9859,0.9727,0.9415,0.949,1.0458,0.9985,0.998,1.0799,0.0569,0.0,0.0212,LOW
VM_012,1378665600,1.0,0.9926,0.9799,0.9448,0.9526,1.0489,1.003,1.0026,1.0801,0.0566,0.0,0.0206,LOW
VM_012,1378665900,1.0,1.0033,0.9885,0.9498,0.9513,1.0637,1.0151,1.0114,1.0971,0.0619,0.0,0.0225,LOW
VM_012,1378666200,1.0,1.0013,0.9739,0.9289,0.9553,1.0602,0.9888,1.0017,1.0924,0.0631,0.0,0.0238,LOW
VM_012,1378666500,1.0,0.9772,0.9567,0.9229,0.939,1.0338,0.9663,0.9816,1.0639,0.0576,0.0,0.0215,LOW
VM_012,1378666800,1.0,1.0126,0.9829,0.9322,0.9642,1.0676,0.9838,1.0068,1.1014,0.0629,0.0,0.0243,LOW
VM_012,1378667100,1.0,0.9985,0.9721,0.9346,0.9499,1.0431,0.9642,0.9918,1.0717,0.057,0.0,0.0213,LOW
VM_012,1378667400,1.0,0.9945,0.9624,0.9266,0.9395,1.0323,0.9564,0.9823,1.0684,0.0565,0.0,0.022,LOW
VM_012,1378667700,1.0,0.997,0.9653,0.9271,0.9409,1.0338,0.9429,0.9819,1.0659,0.0566,0.0,0.0216,LOW
VM_012,1378668000,1.0,1.0,0.9705,0.9299,0.9497,1.0415,0.9424,0.9872,1.0738,0.0565,0.0,0.0217,LOW
VM_012,1378668300,1.0,1.0043,0.9753,0.9359,0.955,1.0442,0.9414,0.991,1.0764,0.0559,0.0,0.0213,LOW
VM_012,1378668600,1.0,1.0087,0.9742,0.928,0.9518,1.049,0.943,0.991,1.0845,0.0595,0.0,0.0231,LOW
VM_012,1378668900,1.0,0.9989,0.9654,0.9246,0.9428,1.0331,0.9247,0.9795,1.0665,0.0564,0.0,0.0215,LOW
VM_012,1378669200,1.0,1.0014,0.9715,0.93,0.9474,1.037,0.9262,0.9839,1.0715,0.0556,0.0,0.0212,LOW
VM_012,1378669500,1.0,1.006,0.976,0.9341,0.9486,1.0398,0.9339,0.9878,1.0747,0.0556,0.0,0.0213,LOW
VM_012,1378669800,1.0,1.0076,0.9768,0.9312,0.9577,1.0463,0.9267,0.9907,1.0828,0.0578,0.0,0.022,LOW
VM_012,1378670100,1.0,1.0016,0.9724,0.9302,0.9541,1.0396,0.9293,0.9866,1.0773,0.0558,0.0,0.0215,LOW
VM_012,1378670400,1.0,1.0104,0.986,0.9422,0.9642,1.05,0.9405,0.9974,1.0864,0.0551,0.0,0.0212,LOW
VM_012,1378670700,1.0,1.0187,0.9918,0.9462,0.9723,1.0573,0.9428,1.0038,1.0949,0.0564,0.0,0.0218,LOW
VM_012,1378671000,1.0,1.008,0.9776,0.9351,0.9586,1.0438,0.9346,0.9908,1.0801,0.0563,0.0,0.0217,LOW
VM_012,1378671300,1.0,1.0074,0.9794,0.9389,0.9601,1.0373,0.9231,0.9888,1.0775,0.054,0.0,0.0209,LOW
VM_012,1378671600,1.0,1.0087,0.9833,0.9454,0.9653,1.0402,0.9273,0.9926,1.0793,0.053,0.0,0.0205,LOW
VM_012,1378671900,1.0,1.016,0.9923,0.9548,0.9762,1.0457,0.9269,0.9999,1.0872,0.0525,0.0,0.0203,LOW
VM_012,1378672200,1.0,1.0097,0.9912,0.9603,0.9724,1.0445,0.9433,1.0002,1.0787,0.05,0.0,0.0193,LOW
VM_012,1378672500,1.0,1.0107,0.9923,0.9617,0.9757,1.0404,0.9269,0.9985,1.0824,0.0497,0.0,0.0194,LOW
VM_012,1378672800,1.0,1.0029,0.9915,0.9667,0.9739,1.0357,0.9271,0.9971,1.0791,0.0473,0.0,0.0186,LOW
VM_012,1378673100,1.0,1.0049,0.9961,0.973,0.9812,1.041,0.931,1.0027,1.0848,0.0471,0.0,0.0184,LOW
VM_012,1378673400,1.0,0.9959,0.99,0.9717,0.9798,1.0327,0.9258,0.9977,1.0789,0.0455,0.0,0.0181,LOW
VM_012,1378673700,1.0,0.9932,0.9941,0.9787,0.9843,1.0299,0.9207,0.999,1.0787,0.0439,0.0,0.0187,LOW
VM_012,1378674000,1.0,0.993,0.9978,0.984,0.9878,1.0292,0.9192,1.0007,1.0799,0.0432,0.0,0.019,LOW
VM_012,1378674300,1.0,1.0022,1.0093,0.9946,1.0006,1.0403,0.9261,1.0116,1.0901,0.0437,0.0,0.0194,LOW
VM_012,1378674600,1.0,0.9857,0.9988,0.9942,0.9946,1.024,0.9098,1.0018,1.0763,0.0427,0.0,0.0197,LOW
VM_012,1378674900,1.0,0.9871,1.0058,1.0017,1.0026,1.0298,0.9188,1.0078,1.0827,0.0417,0.0,0.0194,LOW
VM_012,1378675200,1.0,0.9791,1.0179,1.0222,1.0185,1.0333,0.9242,1.0173,1.0865,0.0401,0.0,0.0192,LOW
VM_012,1378675500,1.0,0.9946,1.0289,1.0312,1.0405,1.0586,0.9474,1.036,1.1077,0.0418,0.0,0.019,LOW
VM_012,1378675800,1.0,0.9836,1.0242,1.0314,1.0377,1.0494,0.9388,1.0308,1.1011,0.0419,0.0,0.0192,LOW
VM_012,1378676100,1.0,0.9819,1.0217,1.0313,1.0336,1.0429,0.9335,1.027,1.0952,0.0413,0.0,0.0191,LOW
VM_012,1378676400,1.0,0.9793,1.0228,1.036,1.0362,1.0404,0.9307,1.0276,1.0931,0.0415,0.0,0.0192,LOW
VM_012,1378676700,1.0,0.9823,1.0264,1.0403,1.0403,1.0485,0.9428,1.0339,1.0977,0.041,0.0,0.0183,LOW
VM_012,1378677000,1.0,0.9753,1.0192,1.0378,1.042,1.0402,0.9332,1.0286,1.0911,0.042,0.0,0.0187,LOW
VM_012,1378677300,1.0,0.9759,1.0196,1.0369,1.0441,1.0462,0.9395,1.0314,1.0965,0.0425,0.0,0.0186,LOW
VM_012,1378677600,1.0,0.9748,1.0223,1.0432,1.0443,1.0483,0.9485,1.0348,1.0957,0.0415,0.0,0.0174,LOW
VM_012,1378677900,1.0,0.9741,1.0196,1.0395,1.0438,1.0482,0.9476,1.0335,1.0951,0.0421,0.0,0.0174,LOW
VM_012,1378678200,1.0,0.9644,1.0071,1.0306,1.0352,1.0383,0.9395,1.0238,1.0838,0.042,0.0,0.0171,LOW
VM_012,1378678500,1.0,0.9625,1.0022,1.0258,1.0319,1.0325,0.933,1.0189,1.0787,0.0422,0.0,0.0172,LOW
VM_012,1378678800,1.0,0.961,0.9993,1.0249,1.0293,1.0324,0.9396,1.0189,1.0757,0.0416,0.0,0.0161,LOW
VM_012,1378679100,1.0,0.9613,0.9973,1.0215,1.032,1.032,0.9357,1.0179,1.0758,0.0427,0.0,0.0166,LOW
VM_012,1378679400,1.0,0.9528,0.9895,1.0175,1.0283,1.0253,0.9328,1.0127,1.0707,0.0427,0.0,0.0163,LOW
VM_012,1378679700,1.0,0.9499,0.9832,1.0117,1.024,1.0219,0.931,1.0084,1.0668,0.0425,0.0,0.0161,LOW
VM_012,1378680000,1.0,0.9474,0.9697,0.9965,1.0102,1.0155,0.9294,0.999,1.0579,0.0423,0.0,0.0152,LOW
VM_012,1378680300,1.0,0.9506,0.9742,1.004,1.0071,1.0222,0.9513,1.0058,1.0592,0.0414,0.0,0.0139,LOW
VM_012,1378680600,1.0,0.9354,0.9572,0.988,1.0043,1.0086,0.9269,0.9918,1.0505,0.0428,0.0,0.0146,LOW
VM_012,1378680900,1.0,0.9315,0.944,0.9736,0.9948,1.0026,0.9256,0.9833,1.0437,0.0438,0.0,0.0151,LOW
VM_012,1378681200,1.0,0.9309,0.94,0.9722,0.9886,0.9969,0.9258,0.9797,1.0406,0.0427,0.0,0.0152,LOW
VM_012,1378681500,1.0,0.9321,0.9396,0.9699,0.9922,1.0011,0.9326,0.9824,1.0459,0.0441,0.0,0.0159,LOW
VM_012,1378681800,1.0,0.9213,0.9281,0.962,0.9794,0.9861,0.9212,0.9699,1.0349,0.0426,0.0,0.0158,LOW
VM_012,1378682100,1.0,0.9192,0.9251,0.962,0.9801,0.9889,0.9304,0.972,1.0406,0.0441,0.0,0.0166,LOW
VM_012,1378682400,1.0,0.9079,0.9195,0.9598,0.9839,0.9844,0.9225,0.9687,1.0375,0.0447,0.0,0.0158,LOW
VM_012,1378682700,1.0,0.9049,0.9123,0.9522,0.9812,0.9861,0.9267,0.9668,1.0415,0.0473,0.0,0.0173,LOW
VM_012,1378683000,1.0,0.8962,0.9027,0.9464,0.9808,0.9807,0.9194,0.9615,1.037,0.0487,0.0,0.0174,LOW
VM_012,1378683300,1.0,0.8983,0.898,0.9404,0.9828,0.9852,0.9234,0.9621,1.0416,0.0512,0.0,0.0185,LOW
VM_012,1378683600,1.0,0.8985,0.9013,0.9471,0.9938,0.9952,0.9306,0.9698,1.0517,0.0531,0.0,0.0187,LOW
VM_012,1378683900,1.0,0.9021,0.897,0.9429,0.9942,1.0003,0.9366,0.971,1.0572,0.0554,0.0,0.02,LOW
VM_012,1378684200,1.0,0.915,0.8842,0.9402,1.2262,1.2406,0.9428,1.088,1.378,0.1756,0.0,0.0584,MEDIUM
VM_012,1378684500,1.0,0.9011,0.924,0.9744,1.0416,1.0345,0.9588,1.0026,1.0895,0.0604,0.0,0.0223,LOW
VM_012,1378684800,1.0,0.9423,0.9548,1.0234,1.1404,1.0444,0.9,1.0323,1.1503,0.0774,0.0,0.0296,MEDIUM
VM_012,1378685100,1.0,0.9408,0.9532,0.9869,1.0814,1.0281,0.9168,1.0117,1.0965,0.0565,0.0,0.0213,LOW
VM_012,1378685400,1.0,0.9898,0.9755,0.9959,1.0539,1.0166,0.928,1.0068,1.0675,0.0385,0.0,0.0165,LOW
VM_012,1378685700,1.0,0.9736,0.9275,0.9603,1.0207,0.9904,0.8966,0.9763,1.0443,0.0423,0.0,0.0175,LOW
VM_012,1378686000,1.0,0.9589,0.9456,1.0065,1.0518,0.9896,0.903,0.9923,1.0581,0.0443,0.0,0.0183,LOW
VM_012,1378686300,1.0,0.9714,0.9425,0.9844,1.0284,0.9871,0.8903,0.9815,1.0433,0.0411,0.0,0.0181,LOW
VM_012,1378686600,1.0,0.9817,0.9459,0.9869,1.0527,1.007,0.916,0.9953,1.065,0.0435,0.0,0.0176,LOW
VM_012,1378686900,1.0,0.9696,0.9465,0.9898,1.0252,0.9842,0.8879,0.9811,1.0392,0.0399,0.0,0.0179,LOW
VM_012,1378687200,1.0,0.9759,0.9586,1.0069,1.0289,0.9921,0.9026,0.9906,1.0432,0.0369,0.0,0.0166,LOW
VM_012,1378687500,1.0,0.9731,0.956,1.0011,1.0169,0.9898,0.8997,0.9862,1.0344,0.0348,0.0,0.0159,LOW
VM_012,1378687800,1.0,0.9819,0.9877,1.0359,1.0586,1.0128,0.9073,1.013,1.0659,0.0431,0.0,0.0188,LOW
VM_012,1378688100,1.0,0.9693,0.9587,0.995,1.0027,0.9809,0.8893,0.9788,1.0174,0.0329,0.0,0.0151,LOW
VM_012,1378688400,1.0,0.9552,0.9622,1.003,1.0052,0.9728,0.8764,0.9768,1.0115,0.0363,0.0,0.016,LOW
VM_012,1378688700,1.0,0.9525,0.9616,0.9964,0.9983,0.9691,0.875,0.9729,1.0024,0.0346,0.0,0.0151,LOW
VM_012,1378689000,1.0,0.9478,0.9567,0.9866,0.9771,0.9554,0.8551,0.9589,0.9866,0.0348,0.0,0.0156,LOW
VM_012,1378689300,1.0,0.9436,0.9649,0.999,1.0004,0.9689,0.8729,0.9734,1.0004,0.0357,0.0,0.0151,LOW
VM_012,1378689600,1.0,0.9534,0.9895,1.0155,1.0149,0.9731,0.8598,0.9823,1.0187,0.044,0.0,0.0188,LOW
VM_012,1378689900,1.0,0.9565,0.9952,1.027,1.0175,0.9781,0.8921,0.9923,1.027,0.0367,0.0,0.016,LOW
VM_012,1378690200,1.0,0.9492,0.9938,1.03,1.0219,0.9838,0.9014,0.9961,1.03,0.0364,0.0,0.0152,LOW
VM_012,1378690500,1.0,0.9393,0.9779,1.0064,1.0035,0.9664,0.8767,0.9775,1.0073,0.0367,0.0,0.0154,LOW
VM_012,1378690800,1.0,0.9352,0.9801,1.0083,1.0075,0.9676,0.8745,0.9788,1.0126,0.0388,0.0,0.0163,LOW
VM_012,1378691100,1.0,0.9384,0.9842,1.0124,1.0142,0.9776,0.8924,0.9871,1.0165,0.0361,0.0,0.0147,LOW
VM_012,1378691400,1.0,0.9384,0.9836,0.9987,1.0268,0.9902,0.885,0.9891,1.0312,0.0398,0.0,0.0173,LOW
VM_012,1378691700,1.0,0.9294,0.981,1.0072,1.0094,0.9738,0.891,0.9831,1.0136,0.0363,0.0,0.0145,LOW
VM_012,1378692000,1.0,0.9288,0.9818,1.0161,1.0219,1.008,0.9558,1.0047,1.0557,0.0342,0.0,0.015,LOW
VM_012,1378692300,1.0,0.9351,0.9928,1.0249,1.029,1.0142,0.9505,1.0106,1.0594,0.0354,0.0,0.0147,LOW
VM_012,1378692600,1.2,0.95,1.0175,1.0501,1.0406,1.0266,0.9647,1.027,1.076,0.0365,0.0408,0.0201,LOW
VM_012,1378692900,1.0,0.9338,0.9926,1.0264,1.0236,1.0219,0.9693,1.0136,1.0699,0.0366,0.0408,0.0213,LOW
VM_012,1378693200,1.0,0.9356,0.9882,1.0197,1.0095,1.0207,0.9842,1.0101,1.0717,0.0369,0.0408,0.0213,LOW
VM_012,1378693500,1.0,0.9389,0.988,1.0147,1.0056,1.0211,0.9824,1.0084,1.0712,0.037,0.0408,0.0209,LOW
VM_012,1378693800,1.0,0.9343,0.9818,1.009,1.0,1.0211,0.9887,1.0058,1.0751,0.0395,0.0408,0.0219,LOW
VM_012,1378694100,1.0,0.9334,0.9781,1.0033,0.9945,1.0205,0.9898,1.0027,1.0758,0.0407,0.0408,0.0221,LOW
VM_012,1378694400,1.0,0.9386,0.9868,1.012,0.9987,1.0193,0.978,1.0053,1.0717,0.0382,0.0408,0.021,LOW
VM_012,1378694700,1.0,0.9494,0.9998,1.0237,1.0004,1.0295,1.0025,1.0154,1.0913,0.0409,0.0408,0.022,LOW
VM_012,1378695000,1.0,0.9559,1.0071,1.0273,1.0067,1.0337,1.0076,1.0202,1.0975,0.0413,0.0408,0.022,LOW
VM_012,1378695300,1.0,0.9446,0.9948,1.0156,0.9924,1.0224,1.0014,1.0086,1.091,0.0427,0.0408,0.0226,LOW
VM_012,1378695600,1.0,0.9446,0.9963,1.0164,0.9926,1.0194,0.9979,1.0073,1.0876,0.0415,0.0408,0.0221,LOW
VM_012,1378695900,1.0,0.9496,1.0024,1.0237,0.9994,1.0296,1.018,1.0161,1.1053,0.0445,0.0408,0.0236,LOW
VM_012,1378696200,1.0,0.9494,1.0033,1.0226,0.9924,1.0246,1.0155,1.0126,1.1048,0.0457,0.0408,0.0245,LOW
VM_012,1378696500,1.0,0.9492,0.9983,1.0154,0.9878,1.0255,1.0209,1.0105,1.1098,0.0481,0.0408,0.0256,LOW
VM_012,1378696800,1.0,0.9572,1.0081,1.0239,0.9972,1.0336,1.0287,1.0189,1.1189,0.0482,0.0408,0.0259,LOW
VM_012,1378697100,1.0,0.9593,1.0089,1.0235,0.998,1.0387,1.0365,1.0215,1.1259,0.05,0.0408,0.0267,LOW
VM_012,1378697400,1.0,0.9629,1.0148,1.0293,1.0012,1.0448,1.0453,1.0266,1.1345,0.0518,0.0408,0.0275,LOW
VM_012,1378697700,1.0,0.9591,1.0076,1.0213,0.9963,1.0446,1.0501,1.0235,1.1381,0.0547,0.0408,0.0285,LOW
VM_012,1378698000,1.0,0.9583,1.0101,1.0266,0.9992,1.0495,1.0614,1.0275,1.1474,0.057,0.0408,0.0295,LOW
VM_012,1378698300,1.0,0.9607,1.0157,1.0345,1.0,1.0569,1.081,1.0342,1.1652,0.0619,0.0408,0.0316,MEDIUM
VM_012,1378698600,1.0,0.962,1.0113,1.02,0.9909,1.0486,1.0602,1.0244,1.1491,0.0589,0.0408,0.0308,MEDIUM
VM_012,1378698900,1.0,0.9611,1.0066,1.0148,0.9875,1.047,1.0611,1.0217,1.1493,0.06,0.0408,0.0313,MEDIUM
VM_012,1378699200,1.0,0.9697,1.0113,1.0192,0.9909,1.0539,1.072,1.0272,1.1606,0.0621,0.0408,0.0324,MEDIUM
VM_012,1378699500,1.0,0.9824,1.0317,1.0387,0.9991,1.0616,1.0799,1.0393,1.1746,0.0616,0.0408,0.0332,MEDIUM
VM_012,1378699800,1.0,0.9861,1.0372,1.0436,0.998,1.059,1.0786,1.0394,1.176,0.0618,0.0,0.0286,LOW
VM_012,1378700100,1.0,0.9798,1.0265,1.0332,0.9936,1.0591,1.0769,1.0346,1.1717,0.0624,0.0,0.0284,LOW
VM_012,1378700400,1.0,0.9808,1.0264,1.0335,0.994,1.0618,1.0795,1.0357,1.1741,0.0628,0.0,0.0285,LOW
VM_012,1378700700,1.0,0.9872,1.0368,1.0453,0.9993,1.0654,1.0826,1.0422,1.1785,0.0615,0.0,0.0285,LOW
VM_012,1378701000,1.0,0.9871,1.0313,1.0378,0.9968,1.0692,1.0856,1.0409,1.1817,0.0634,0.0,0.029,LOW
VM_012,1378701300,1.0,0.9874,1.0319,1.0387,0.9959,1.0685,1.0827,1.0404,1.1798,0.0625,0.0,0.0289,LOW
VM_012,1378701600,1.0,0.9899,1.0363,1.0445,0.9985,1.0671,1.0817,1.0419,1.1808,0.0615,0.0,0.0291,LOW
VM_012,1378701900,1.0,0.9946,1.0434,1.0535,1.0032,1.075,1.0945,1.0494,1.1933,0.0634,0.0,0.0299,MEDIUM
VM_012,1378702200,1.0,1.0002,1.0468,1.053,1.0052,1.0779,1.0917,1.0512,1.1935,0.0622,0.0,0.0297,MEDIUM
VM_012,1378702500,1.0,0.9972,1.0427,1.0509,1.0039,1.0767,1.088,1.0491,1.189,0.0611,0.0,0.0292,LOW
VM_012,1378702800,1.0,0.9994,1.0445,1.0546,1.0085,1.0797,1.0892,1.0522,1.1899,0.0598,0.0,0.0288,LOW
VM_012,1378703100,1.0,1.0035,1.053,1.067,1.0197,1.0894,1.101,1.0621,1.2,0.0599,0.0,0.0288,LOW
VM_012,1378703400,1.0,0.9999,1.0472,1.0605,1.0174,1.0861,1.0959,1.058,1.195,0.0592,0.0,0.0286,LOW
VM_012,1378703700,1.0,0.9997,1.0437,1.0575,1.018,1.0875,1.0949,1.0578,1.1937,0.0585,0.0,0.0282,LOW
VM_012,1378704000,1.0,1.0135,1.0532,1.0685,1.0245,1.1028,1.1107,1.0702,1.2079,0.059,0.0,0.0282,LOW
VM_012,1378704300,1.0,1.0242,1.0644,1.0813,1.04,1.1182,1.1234,1.0844,1.22,0.0579,0.0,0.0275,LOW
VM_012,1378704600,1.0,1.0254,1.0679,1.0867,1.0453,1.1236,1.1278,1.0891,1.2218,0.0569,0.0,0.027,LOW
VM_012,1378704900,1.0,1.0166,1.0598,1.0831,1.0475,1.1206,1.1247,1.0859,1.2186,0.0569,0.0,0.0267,LOW
VM_012,1378705200,1.0,1.0106,1.0585,1.0882,1.0528,1.1231,1.1283,1.0885,1.2212,0.0575,0.0,0.0266,LOW
VM_012,1378705500,1.0,1.0147,1.0617,1.0927,1.0609,1.1282,1.1313,1.0938,1.2237,0.0563,0.0,0.0259,LOW
VM_012,1378705800,1.0,1.0169,1.0561,1.0812,1.0542,1.1236,1.1166,1.0869,1.21,0.0529,0.0,0.0246,LOW
VM_012,1378706100,1.0,1.0173,1.0518,1.0758,1.0557,1.1232,1.1122,1.0851,1.2041,0.0511,0.0,0.0236,LOW
VM_012,1378706400,1.0,1.0184,1.0541,1.0794,1.0602,1.1302,1.1179,1.0895,1.2085,0.0515,0.0,0.0235,LOW
VM_012,1378706700,1.0,1.0248,1.0589,1.0824,1.0657,1.1331,1.1178,1.0933,1.2087,0.0498,0.0,0.0229,LOW
VM_012,1378707000,1.0,1.024,1.0563,1.0775,1.0623,1.1299,1.1094,1.0892,1.2003,0.048,0.0,0.0221,LOW
VM_012,1378707300,1.0,1.0263,1.0538,1.0736,1.0632,1.1293,1.1054,1.0878,1.1957,0.0465,0.0,0.0214,LOW
VM_012,1378707600,1.0,1.0292,1.0537,1.0722,1.0648,1.1288,1.1014,1.0874,1.1909,0.0447,0.0,0.0205,LOW
VM_012,1378707900,1.0,1.0375,1.0614,1.0796,1.0716,1.1333,1.1038,1.0932,1.1935,0.0432,0.0,0.0201,LOW
VM_012,1378708200,1.0,1.0327,1.0559,1.0738,1.0664,1.1286,1.1,1.0883,1.1892,0.0434,0.0,0.0202,LOW
VM_012,1378708500,1.0,1.033,1.0559,1.0748,1.0691,1.1291,1.1008,1.0895,1.1896,0.0431,0.0,0.02,LOW
VM_012,1378708800,1.0,1.0319,1.0562,1.0763,1.0725,1.1276,1.0956,1.0895,1.1843,0.0416,0.0,0.0191,LOW
VM_012,1378709100,1.0,1.0369,1.064,1.0856,1.082,1.1374,1.1095,1.0991,1.1981,0.0433,0.0,0.0197,LOW
VM_012,1378709400,1.0,1.0394,1.0577,1.0736,1.0729,1.1261,1.0926,1.0897,1.1826,0.04,0.0,0.0185,LOW
VM_012,1378709700,1.0,1.0403,1.0565,1.0722,1.0718,1.124,1.0903,1.0882,1.1787,0.039,0.0,0.0181,LOW
VM_012,1378710000,1.0,1.0417,1.0574,1.073,1.0724,1.1228,1.0901,1.0885,1.1781,0.0385,0.0,0.0179,LOW
VM_012,1378710300,1.0,1.0455,1.0606,1.0757,1.0779,1.1275,1.0933,1.0927,1.1817,0.0384,0.0,0.0176,LOW
VM_012,1378710600,1.0,1.0376,1.054,1.0711,1.073,1.1187,1.0871,1.0862,1.1749,0.0384,0.0,0.0176,LOW
VM_012,1378710900,1.0,1.0379,1.0486,1.0629,1.067,1.1125,1.0775,1.0802,1.1661,0.037,0.0,0.0171,LOW
VM_012,1378711200,1.0,1.0377,1.0466,1.0606,1.0647,1.108,1.0728,1.0775,1.162,0.0364,0.0,0.0168,LOW
VM_012,1378711500,1.0,1.0411,1.0494,1.0638,1.0678,1.1108,1.0751,1.0806,1.1646,0.0363,0.0,0.0167,LOW
VM_012,1378711800,1.0,1.0352,1.0418,1.0562,1.0605,1.0982,1.0634,1.0718,1.1534,0.0354,0.0,0.0163,LOW
VM_012,1378712100,1.0,1.0321,1.0381,1.0523,1.0557,1.0912,1.0552,1.0665,1.1464,0.0349,0.0,0.016,LOW
VM_012,1378712400,1.0,1.0245,1.036,1.0556,1.0582,1.0889,1.0562,1.0664,1.1473,0.0363,0.0,0.0161,LOW
VM_012,1378712700,1.0,1.0265,1.0392,1.0613,1.0608,1.0905,1.0617,1.0697,1.1524,0.0369,0.0,0.0165,LOW
VM_012,1378713000,1.0,1.0261,1.0268,1.0419,1.0446,1.0708,1.0325,1.0521,1.1244,0.0332,0.0,0.0147,LOW
VM_012,1378713300,1.0,1.0221,1.0208,1.037,1.0396,1.0632,1.0264,1.0464,1.1179,0.033,0.0,0.0144,LOW
VM_012,1378713600,1.0,1.0193,1.0121,1.027,1.0376,1.0614,1.0216,1.0423,1.1162,0.0332,0.0,0.0141,LOW
VM_012,1378713900,1.0,1.0313,1.0181,1.0327,1.0444,1.0657,1.0226,1.0477,1.1171,0.032,0.0,0.0132,LOW
VM_012,1378714200,1.0,1.025,1.0081,1.0223,1.0303,1.0487,1.0042,1.0345,1.1023,0.0318,0.0,0.0128,LOW
VM_012,1378714500,1.0,1.0227,1.0064,1.0217,1.028,1.0388,0.9956,1.0296,1.0928,0.032,0.0,0.0123,LOW
VM_012,1378714800,1.0,1.0191,1.0037,1.0203,1.0255,1.032,0.9879,1.0254,1.087,0.0325,0.0,0.0119,LOW
VM_012,1378715100,1.0,1.0262,1.0088,1.0254,1.0296,1.0337,0.9887,1.0288,1.0921,0.0328,0.0,0.0122,LOW
VM_012,1378715400,1.0,1.0152,0.9957,1.0108,1.0142,1.016,0.9724,1.0138,1.0777,0.0328,0.0,0.0125,LOW
VM_012,1378715700,1.0,1.012,0.9904,1.0052,1.0085,1.0082,0.9656,1.0077,1.073,0.0332,0.0,0.0127,LOW
VM_012,1378716000,1.0,1.0069,0.9838,0.9993,1.004,1.001,0.9572,1.0014,1.0688,0.0336,0.0,0.0132,LOW
VM_012,1378716300,1.0,1.0098,0.9869,1.0016,1.0065,1.0023,0.9591,1.0033,1.0719,0.0341,0.0,0.0133,LOW
VM_012,1378716600,1.0,1.0047,0.9764,0.9864,0.9938,0.9912,0.9465,0.9916,1.0587,0.0337,0.0,0.0133,LOW
